11
epoch [195/500], loss:0.9471 Accuracy: 33529/50000
epoch [196/500], loss:0.9461 Accuracy: 33537/50000
epoch [197/500], loss:0.9445 Accuracy: 33540/50000
epoch [198/500], loss:0.9446 Accuracy: 33592/50000
epoch [199/500], loss:0.9440 Accuracy: 33490/50000
epoch [200/500], loss:0.9424 Accuracy: 33614/50000
epoch [201/500], loss:0.9424 Accuracy: 33607/50000
epoch [202/500], loss:0.9408 Accuracy: 33581/50000
epoch [203/500], loss:0.9414 Accuracy: 33632/50000
epoch [204/500], loss:0.9393 Accuracy: 33617/50000
epoch [205/500], loss:0.9387 Accuracy: 33613/50000
epoch [206/500], loss:0.9390 Accuracy: 33622/50000
epoch [207/500], loss:0.9381 Accuracy: 33653/50000
epoch [208/500], loss:0.9366 Accuracy: 33687/50000
epoch [209/500], loss:0.9364 Accuracy: 33744/50000
epoch [210/500], loss:0.9361 Accuracy: 33687/50000
epoch [211/500], loss:0.9353 Accuracy: 33747/50000
epoch [212/500], loss:0.9341 Accuracy: 33749/50000
epoch [213/500], loss:0.9335 Accuracy: 33735/50000
epoch [214/500], loss:0.9333 Accuracy: 33787/50000
epoch [215/500], loss:0.9314 Accuracy: 33705/50000
epoch [216/500], loss:0.9323 Accuracy: 33780/50000
epoch [217/500], loss:0.9308 Accuracy: 33835/50000
epoch [218/500], loss:0.9308 Accuracy: 33810/50000
epoch [219/500], loss:0.9292 Accuracy: 33836/50000
epoch [220/500], loss:0.9294 Accuracy: 33794/50000
epoch [221/500], loss:0.9276 Accuracy: 33819/50000
epoch [222/500], loss:0.9286 Accuracy: 33803/50000
epoch [223/500], loss:0.9271 Accuracy: 33822/50000
epoch [224/500], loss:0.9262 Accuracy: 33884/50000
epoch [225/500], loss:0.9257 Accuracy: 33962/50000
epoch [226/500], loss:0.9252 Accuracy: 33833/50000
epoch [227/500], loss:0.9244 Accuracy: 33897/50000
epoch [228/500], loss:0.9241 Accuracy: 33921/50000
epoch [229/500], loss:0.9234 Accuracy: 33914/50000
epoch [230/500], loss:0.9224 Accuracy: 33944/50000
epoch [231/500], loss:0.9220 Accuracy: 33943/50000
epoch [232/500], loss:0.9212 Accuracy: 33946/50000
epoch [233/500], loss:0.9220 Accuracy: 33904/50000
epoch [234/500], loss:0.9198 Accuracy: 33912/50000
epoch [235/500], loss:0.9194 Accuracy: 33964/50000
epoch [236/500], loss:0.9201 Accuracy: 33960/50000
epoch [237/500], loss:0.9192 Accuracy: 33955/50000
epoch [238/500], loss:0.9174 Accuracy: 34034/50000
epoch [239/500], loss:0.9178 Accuracy: 34060/50000
epoch [240/500], loss:0.9173 Accuracy: 34015/50000
epoch [241/500], loss:0.9152 Accuracy: 34051/50000
epoch [242/500], loss:0.9156 Accuracy: 34067/50000
epoch [243/500], loss:0.9167 Accuracy: 34043/50000
epoch [244/500], loss:0.9136 Accuracy: 34090/50000
epoch [245/500], loss:0.9135 Accuracy: 34085/50000
